devId,_month,BMS_PCB_board_surface_temperature,Battery_control,Battery_status,Cell_series_numbe_23_series,Internal_temperature_of_battery,Location_type,Mileage,Number_of_cycles,SOC,Speed_information,Surface_temperature_in_the_middle_of_cells,Total_charged_capacity,Total_current,Total_discharged_capacity,Total_voltage,alarmDesc,alarmFlag,times_100_of_battery_capacity,Maximum_Charge_Current,Nominal_Capacity,Total_charge_protect_voltage,total_cell_voltage
BGU9001,8,27.310344827586206,4.0,0.0,24.0,24.48275862068965,5.0,4957.0,88.0,81.0,0.0,24.75862068965517,2557.0,0.0,2574.0,7995.620689655172,0.0,0.0,2262.0666666666666,40.0,29.0,8328.0,2204.7867647058824
BGU9001,9,33.22335556427357,0.0,0.0,24.0,18.182772380291464,1.0,4408.95721970079,4332.812932525952,67.97659043378533,6.466269637539789,121138293797.976,3023.325392213829,667.3698289269051,3029.5572674418604,6985.65536019916,0.0,0.0,2032.9533356377465,76.37356002094515,65.42678673761769,8214.13226475641,4409521283.295089
BGU9002,8,27.82758620689655,4.0,2.0,24.0,25.20689655172414,5.0,4421.0,82.0,26.0,0.0,25.55172413793104,2399.0,0.0,2385.0,7851.6551724137935,0.0,0.0,727.0769230769231,40.0,29.0,8328.0,1741.9129032258063
BGU9002,9,32.594090793811816,0.0,0.0,24.0,18.045939294503693,1.0,3976.965472560976,4401.7844986672135,68.59840458681292,7.415421508946689,127030938259.31631,2920.3443030973453,680.4479672330098,2927.316080819264,6997.518439823949,0.0,0.0,2085.513306719893,72.85449011590372,62.05818657232946,8217.235081787445,4695003913.089175
BGU9003,8,26.486486486486488,4.0,0.0,24.0,24.0,5.0,7279.0,117.0,6.644736842105263,0.0,24.0,3419.3571428571427,0.0,3394.0,7704.567567567567,11.0,0.0,194.7333333333333,40.0,29.0,8328.0,1968.2361809045224
BGU9003,9,32.750501504513544,0.0,0.0,24.0,19.171726985669174,1.0,6441.266811584041,4283.589811783961,55.61154885834244,8.597157579787234,116897410542.39597,3535.1592944369063,661.5028164838423,3536.433496199783,6965.525051882597,0.0,0.0,1611.3793103448277,83.0500380228137,72.20465300284536,8219.06717890772,4042884873.9546194
BGU9004,8,25.55263157894737,4.0,0.0,24.0,24.92105263157895,5.0,8418.0,143.0,81.04819277108433,0.0,24.42105263157895,4152.0,0.0,4169.0,7996.394736842105,0.0,0.0,2278.764705882353,40.0,29.0,8328.0,2047.9398280802293
BGU9004,9,32.82008688985433,0.0,0.0,24.0,18.933638246461857,1.0,7316.879485883457,4334.213727560718,56.68317877685174,7.89887831407206,144442430107.33292,3960.212290502793,658.0556977269306,3962.167691447736,6965.814240553967,0.0,0.0,1655.8199667221295,97.0694015306365,86.23638986651447,8215.495641794796,5190417618.735837
BGU9005,8,25.0,4.0,2.0,24.0,23.0,5.0,5307.0,67.0,2.0,0.0,23.07692307692308,1971.0,0.0,1943.0,7650.871794871795,,,61.8421052631579,40.0,29.0,8328.0,3498.5
BGU9005,9,27.988975356679635,4.0,2.0,24.0,25.631168831168832,5.0,5342.327082424771,67.39233038348083,44.99531372038532,3.840174672489083,25.802340702210664,1972.1238938053095,-11.061768530559169,1965.1356932153392,7789.158914728682,0.0,0.0,1089.712987012987,40.0,28.99550524388214,8321.206264578474,5411.330558539205
BGU9006,8,30.0,4.0,0.0,24.0,28.193548387096776,5.0,2606.0,45.0,66.0,0.0,28.774193548387096,1314.0,0.0,1323.0,7976.903225806452,0.0,0.0,1840.4444444444443,40.0,29.0,8328.0,2393.5857605178
BGU9006,9,29.96162881754111,0.0,0.0,24.0,17.036432045517113,5.0,2177.6196925329427,4378.251864853006,55.47901695889623,4.799931600547196,111921532285.71896,2151.756040070713,668.016849590354,2153.436411920921,6983.073770491803,0.0,0.0,1602.4014778325122,58.15481109799292,47.39758522261229,8215.626220136102,4152152467.61318
BGU9007,8,37.89655172413793,4.0,0.0,24.0,34.206896551724135,5.0,8743.0,142.0,100.0,0.0,34.58620689655172,4118.0,0.0,4147.0,8237.172413793103,0.0,0.0,2926.823529411765,40.0,29.0,8328.0,3023.8704103671707
BGU9007,9,32.361772151898734,0.0,0.0,24.0,18.49348493650925,1.0,7367.745437382001,4393.499158603281,63.78539275977937,7.013722126929674,118749596116.78986,3955.425014148274,660.3061163000904,3961.324745186863,6966.471962616823,0.0,0.0,1920.9770037199864,91.76114124027352,80.97290198792149,8217.7824001246,4522410154.0773535
BGU9009,8,28.75,4.0,0.0,24.0,26.8125,5.0,939.0,26.0,100.0,0.0,27.5,754.0,0.0,783.0,8105.53125,0.0,0.0,2922.5333333333333,40.0,29.0,8328.0,2198.264014466546
BGU9009,9,33.61002014098691,0.0,0.0,24.0,19.14109716410972,1.0,1432.8811908736784,4163.392233408671,65.18205040871935,7.989536499632143,121177794856.85223,1957.430352303523,619.0283466904126,1964.510037981552,7043.482108389013,0.0,0.0,1989.7579214195184,55.95720350892765,45.17039097877882,8223.982534095909,4446052754.009556
BGU9010,8,22.457142857142856,4.0,0.0,24.0,20.942857142857143,5.0,5709.0,97.0,83.0,0.0,20.735294117647054,2817.0,0.0,2836.0,7999.0,0.0,0.0,2320.9333333333334,40.0,29.0,8328.0,1704.390625
